subj	age	gender	condition	responseRing	speed	rt	correct	numTargets	numObjects	ageGroup
201	62	female	331.1	2	0.1	2.32566001382656	0	3	10	older
201	62	female	331.1	1	0.366666666666667	2.13129336677957	0	3	10	older
201	62	female	331.1	3	0.366666666666667	5.79368461214472	0	3	10	older
201	62	female	331.1	2	0.5	3.74952139228117	0	3	10	older
201	62	female	331.1	3	0.5	5.75369166373275	0	3	10	older
201	62	female	331.1	1	0.366666666666667	6.09895119862631	0	3	10	older
201	62	female	331.1	3	0.1	2.40279720607214	0	3	10	older
201	62	female	331.1	2	0.1	2.49761073477566	0	3	10	older
201	62	female	331.1	2	0.5	2.26690129656345	0	3	10	older
201	62	female	331.1	1	0.233333333333333	2.04681239125784	0	3	10	older
201	62	female	331.1	2	0.366666666666667	2.83383241761476	0	3	10	older
201	62	female	331.1	1	0.1	2.22102982015349	1	3	10	older
201	62	female	331.1	2	0.233333333333333	2.86939911264926	0	3	10	older
201	62	female	331.1	2	0.233333333333333	2.69755796878599	0	3	10	older
201	62	female	331.1	3	0.366666666666667	4.407613469637	0	3	10	older
201	62	female	331.1	3	0.366666666666667	3.92918417230248	0	3	10	older
201	62	female	331.1	2	0.1	2.33336694107857	1	3	10	older
201	62	female	331.1	1	0.5	2.81963387341239	0	3	10	older
201	62	female	331.1	1	0.233333333333333	2.15106283815112	0	3	10	older
201	62	female	331.1	1	0.366666666666667	3.54970184748527	0	3	10	older
201	62	female	331.1	1	0.1	2.08307216945104	1	3	10	older
201	62	female	331.1	2	0.1	2.75880254805088	1	3	10	older
201	62	female	331.1	3	0.366666666666667	4.79977746470831	0	3	10	older
203	78	male	13.15	3	0.933333333333333	4.45099636737723	1	1	5	older
203	78	male	13.15	3	0.666666666666667	2.64766564406455	1	1	5	older
203	78	male	13.15	3	0.666666666666667	2.67173035920132	1	1	5	older
203	78	male	13.15	3	0.933333333333333	3.07308162993286	1	1	5	older
203	78	male	13.15	3	0.933333333333333	3.67155557917431	1	1	5	older
203	78	male	13.15	3	0.4	2.92022722016554	1	1	5	older
203	78	male	13.15	3	0.4	3.26745793654118	1	1	5	older
203	78	male	13.15	3	1.2	3.19914517737925	0	1	5	older
203	78	male	13.15	3	1.2	4.85966304561589	0	1	5	older
203	78	male	13.15	3	0.666666666666667	2.96111338841729	1	1	5	older
203	78	male	13.15	3	0.933333333333333	2.79881119343918	1	1	5	older
203	78	male	13.15	3	0.4	2.40744412317872	1	1	5	older
203	78	male	13.15	3	0.666666666666667	3.01736813155003	1	1	5	older
203	78	male	13.15	3	1.2	3.01742639171425	1	1	5	older
203	78	male	13.15	3	0.933333333333333	3.30763411731459	1	1	5	older
203	78	male	13.15	3	0.933333333333333	2.77162096323445	1	1	5	older
203	78	male	13.15	3	1.2	3.28706017439254	0	1	5	older
203	78	male	13.15	3	1.2	5.32298276887741	0	1	5	older
203	78	male	13.15	3	0.666666666666667	2.69123177416623	1	1	5	older
203	78	male	13.15	3	0.4	4.39122308033984	1	1	5	older
203	78	male	13.15	3	0.4	4.15285863575991	1	1	5	older
203	78	male	13.15	3	0.933333333333333	2.90282769454643	1	1	5	older
203	78	male	13.15	3	0.4	3.13682474964298	1	1	5	older
203	78	male	13.15	3	0.4	3.12758706253953	1	1	5	older
203	78	male	13.15	3	1.2	3.69152911170386	0	1	5	older
203	78	male	13.15	3	0.666666666666667	3.16165650484618	1	1	5	older
203	78	male	13.15	3	0.666666666666667	3.77164028270636	1	1	5	older
